食物,國民市場,鹽埕示範,新興第二,三民第二,左營第四,鼓山第三,楠梓市場,三民第一,苓雅市場,中華市場,旗山第一,鳳山第一,岡山文賢,大寮大發,橋頭市場
茼蒿,100.0,50.0,0.0,83.0,50.0,66.0,67.0,0.0,0.0,0.0,75.0,66.0,83.0,0.0,83.0
青花苔,83.0,40.0,50.0,41.0,25.0,58.0,58.0,58.0,66.0,41.0,50.0,50.0,42.0,46.0,83.0
金針菜乾,533.0,533.0,533.0,533.0,533.0,533.0,580.0,533.0,533.0,533.0,667.0,466.0,667.0,0.0,533.0
冬瓜,50.0,33.0,33.0,33.0,25.0,33.0,25.0,41.0,41.0,41.0,20.0,30.0,20.0,27.0,42.0
扁蒲,50.0,30.0,0.0,41.0,25.0,41.0,25.0,0.0,25.0,25.0,30.0,30.0,33.0,0.0,25.0
甜碗豆,166.0,83.0,83.0,83.0,75.0,100.0,100.0,100.0,133.0,100.0,67.0,100.0,83.0,0.0,133.0
碗豆,166.0,91.0,100.0,100.0,75.0,116.0,117.0,117.0,133.0,100.0,67.0,116.0,100.0,0.0,133.0
甜玉米,83.0,50.0,50.0,41.0,41.0,50.0,42.0,58.0,58.0,50.0,40.0,50.0,42.0,45.0,50.0
香菇乾,833.0,833.0,1000.0,1000.0,1000.0,833.0,833.0,1167.0,1000.0,1000.0,1000.0,1066.0,1250.0,0.0,1166.0
香菇溼,200.0,150.0,150.0,150.0,125.0,150.0,150.0,150.0,200.0,150.0,133.0,133.0,150.0,160.0,150.0
黑色木耳,166.0,100.0,100.0,100.0,83.0,100.0,117.0,117.0,100.0,100.0,90.0,83.0,100.0,110.0,100.0
香蕉,55.0,50.0,50.0,50.0,41.0,50.0,50.0,58.0,50.0,50.0,42.0,0.0,58.0,49.0,50.0
鳳梨17號,41.0,36.0,41.0,33.0,33.0,41.0,37.0,50.0,41.0,41.0,33.0,0.0,32.0,33.0,42.0
番石榴世紀,41.0,33.0,0.0,33.0,33.0,33.0,25.0,0.0,33.0,0.0,25.0,0.0,17.0,27.0,0.0
木瓜,66.0,43.0,58.0,58.0,50.0,50.0,75.0,58.0,50.0,66.0,33.0,0.0,58.0,48.0,63.0
小西瓜,30.0,33.0,25.0,25.0,25.0,33.0,17.0,33.0,33.0,25.0,20.0,0.0,17.0,23.0,30.0
甜瓜,83.0,0.0,0.0,0.0,58.0,0.0,83.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0
洋香瓜,75.0,75.0,75.0,75.0,66.0,83.0,75.0,83.0,80.0,75.0,65.0,0.0,83.0,0.0,75.0
海梨柑,0.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
文旦,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
柳橙,0.0,33.0,41.0,33.0,25.0,41.0,50.0,41.0,42.0,0.0,50.0,0.0,42.0,33.0,0.0
椪柑,0.0,70.0,0.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,65.0,0.0,0.0
楊桃,58.0,58.0,0.0,0.0,41.0,50.0,75.0,0.0,58.0,66.0,58.0,0.0,0.0,0.0,0.0
蓮霧,150.0,110.0,83.0,75.0,66.0,83.0,83.0,100.0,83.0,83.0,83.0,0.0,83.0,85.0,83.0
鶯歌桃,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
紅柿子,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
巨峰葡萄,166.0,150.0,133.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,133.0,0.0,167.0,0.0,233.0
黑葉荔枝,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
在來芒果,166.0,100.0,83.0,83.0,83.0,0.0,117.0,100.0,0.0,100.0,0.0,0.0,67.0,0.0,100.0
新世紀梨,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,0.0,0.0,0.0,0.0
棗子,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0
紅肉李,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
玉李,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.0,0.0,0.0
荔枝玉荷,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
鳳梨開英,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
桶柑,83.0,0.0,0.0,58.0,50.0,0.0,67.0,67.0,58.0,0.0,58.0,0.0,65.0,60.0,0.0
檸檬,83.0,67.0,67.0,50.0,50.0,83.0,67.0,83.0,66.0,66.0,75.0,0.0,75.0,58.0,63.0
茂谷柑,0.0,80.0,100.0,83.0,66.0,83.0,133.0,100.0,83.0,83.0,83.0,0.0,83.0,0.0,0.0
白柚,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
甜桃,166.0,0.0,0.0,0.0,0.0,0.0,117.0,0.0,0.0,0.0,0.0,0.0,133.0,0.0,0.0
水蜜桃,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
牛心柿,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
甜柿,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
橫山梨,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
新興梨,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,0.0,0.0,0.0,0.0
大西瓜,0.0,0.0,0.0,33.0,41.0,0.0,33.0,41.0,0.0,41.0,0.0,0.0,42.0,0.0,42.0
無子西瓜,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
枇杷,283.0,200.0,200.0,200.0,166.0,0.0,250.0,200.0,0.0,200.0,200.0,0.0,217.0,192.0,200.0
番石榴珍珠,41.0,42.0,33.0,41.0,41.0,41.0,0.0,41.0,33.0,33.0,25.0,0.0,17.0,29.0,25.0
金煌芒果,117.0,100.0,133.0,0.0,0.0,0.0,108.0,133.0,0.0,0.0,0.0,0.0,117.0,0.0,0.0
愛文芒果,216.0,110.0,0.0,0.0,0.0,0.0,117.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
釋迦,150.0,110.0,100.0,116.0,100.0,133.0,0.0,117.0,116.0,116.0,90.0,0.0,117.0,0.0,117.0
龍眼,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
虱目魚,133.0,150.0,150.0,133.0,125.0,133.0,150.0,133.0,133.0,133.0,133.0,133.0,183.0,126.0,133.0
吳郭魚,133.0,133.0,133.0,133.0,116.0,133.0,133.0,133.0,130.0,133.0,116.0,125.0,100.0,118.0,133.0
鰱魚,333.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
赤宗,466.0,420.0,500.0,533.0,366.0,450.0,500.0,500.0,430.0,400.0,0.0,400.0,0.0,462.0,400.0
加臘,0.0,220.0,333.0,0.0,220.0,200.0,500.0,400.0,0.0,0.0,230.0,266.0,750.0,0.0,0.0
盤仔魚,0.0,360.0,400.0,333.0,300.0,450.0,500.0,300.0,300.0,266.0,380.0,366.0,533.0,362.0,533.0
白鯧,500.0,550.0,670.0,583.0,450.0,420.0,833.0,883.0,400.0,500.0,0.0,0.0,1167.0,630.0,0.0
旗魚,0.0,300.0,333.0,266.0,200.0,266.0,333.0,333.0,330.0,300.0,250.0,266.0,267.0,216.0,300.0
鮪魚,400.0,333.0,417.0,333.0,233.0,333.0,250.0,333.0,450.0,333.0,307.0,266.0,367.0,315.0,333.0
肉魚,500.0,300.0,333.0,400.0,266.0,333.0,500.0,333.0,300.0,333.0,540.0,283.0,583.0,358.0,587.0
紅目鰱,0.0,330.0,580.0,583.0,366.0,450.0,670.0,600.0,520.0,333.0,480.0,550.0,667.0,465.0,587.0
烏賊,267.0,233.0,200.0,250.0,200.0,266.0,250.0,233.0,267.0,266.0,231.0,266.0,267.0,225.0,266.0
白帶魚,0.0,266.0,0.0,300.0,220.0,266.0,420.0,267.0,300.0,300.0,0.0,300.0,483.0,0.0,400.0
