日期,市場,價格
2014-02-09,三民第一,
2014-02-09,苓雅市場,
2014-02-09,中華市場,
2014-02-09,旗山第一,
2014-02-09,鳳山第一,
2014-02-09,岡山文賢,
2014-02-09,大寮大發,
2014-02-09,橋頭市場,
2014-02-10,國民市場,166.0
2014-02-10,鹽埕示範,150.0
2014-02-10,新興第二,
2014-02-10,三民第二,150.0
2014-02-10,左營第四,133.0
2014-02-10,鼓山第三,150.0
2014-02-10,楠梓市場,167.0
2014-02-10,三民第一,
2014-02-10,苓雅市場,150.0
2014-02-10,中華市場,0.0
2014-02-10,旗山第一,
2014-02-10,鳳山第一,0.0
2014-02-10,岡山文賢,0.0
2014-02-10,大寮大發,0.0
2014-02-10,橋頭市場,167.0
2014-02-11,國民市場,166.0
2014-02-11,鹽埕示範,150.0
2014-02-11,新興第二,150.0
2014-02-11,三民第二,150.0
2014-02-11,左營第四,133.0
2014-02-11,鼓山第三,150.0
2014-02-11,楠梓市場,150.0
2014-02-11,三民第一,167.0
2014-02-11,苓雅市場,150.0
2014-02-11,中華市場,150.0
2014-02-11,旗山第一,133.0
2014-02-11,鳳山第一,133.0
2014-02-11,岡山文賢,167.0
2014-02-11,大寮大發,168.0
2014-02-11,橋頭市場,167.0
2014-02-12,國民市場,166.0
2014-02-12,鹽埕示範,150.0
2014-02-12,新興第二,150.0
2014-02-12,三民第二,150.0
2014-02-12,左營第四,133.0
2014-02-12,鼓山第三,150.0
2014-02-12,楠梓市場,150.0
2014-02-12,三民第一,167.0
2014-02-12,苓雅市場,150.0
2014-02-12,中華市場,150.0
2014-02-12,旗山第一,133.0
2014-02-12,鳳山第一,150.0
2014-02-12,岡山文賢,167.0
2014-02-12,大寮大發,0.0
2014-02-12,橋頭市場,167.0
2014-02-13,國民市場,166.0
2014-02-13,鹽埕示範,150.0
2014-02-13,新興第二,150.0
2014-02-13,三民第二,150.0
2014-02-13,左營第四,133.0
2014-02-13,鼓山第三,150.0
2014-02-13,楠梓市場,150.0
2014-02-13,三民第一,167.0
2014-02-13,苓雅市場,150.0
2014-02-13,中華市場,150.0
2014-02-13,旗山第一,133.0
2014-02-13,鳳山第一,150.0
2014-02-13,岡山文賢,167.0
2014-02-13,大寮大發,168.0
2014-02-13,橋頭市場,167.0
2014-02-14,國民市場,166.0
2014-02-14,鹽埕示範,150.0
2014-02-14,新興第二,150.0
2014-02-14,三民第二,150.0
2014-02-14,左營第四,133.0
2014-02-14,鼓山第三,150.0
2014-02-14,楠梓市場,150.0
2014-02-14,三民第一,167.0
2014-02-14,苓雅市場,150.0
2014-02-14,中華市場,150.0
2014-02-14,旗山第一,133.0
2014-02-14,鳳山第一,150.0
2014-02-14,岡山文賢,167.0
2014-02-14,大寮大發,168.0
2014-02-14,橋頭市場,167.0
2014-02-15,國民市場,
2014-02-15,鹽埕示範,
2014-02-15,新興第二,
2014-02-15,三民第二,
2014-02-15,左營第四,
2014-02-15,鼓山第三,
2014-02-15,楠梓市場,
2014-02-15,三民第一,
2014-02-15,苓雅市場,
2014-02-15,中華市場,
2014-02-15,旗山第一,
2014-02-15,鳳山第一,
2014-02-15,岡山文賢,
